title,schoolwork,class,exhibitions,description,yearcreated,substrate,process,medium,size,subject,themes,contentwarning,objectid ,rights,filename,format,filesize
Sacrifice ,Yes,Introduction to printmaking ,BFA show; Act of Creation - CSPS,"A reduction woodblock print depicting a hand holding a halved pomegranate with a knife in it, there is a raven perched on the knife ",2024,Paper,"Print, Woodblock ",Ink,Unknown ,Bird; knife; pomegranate; hand,Religion; spiritualism,Weaponry ,Sacrifice,Nicolai McVey,Sacrifice.JPG,JPG,1.3MB
It's Funny Isn't It?,Yes,Painting 1,BFA show; Act of Creation - CSPS,An oil painting depicting a jester sitting on a moon holding a crown at sunset ,2025,Canvas,"Painting, oil",Oil paint,24x36,Jester; moon; sky; crown; people ,Grief; longing ,,Funny,Nicolai McVey,Funny.JPG,JPG,5.4MB
Let's be friends!,Yes,Introduction to printmaking ,BFA show; Act of Creation - CSPS,Two stylized people in EGL fashion ,2024,Paper,"Print, lithography ",Ink,Unknown ,People,Fashion; community ,,Friends,Nicolai McVey,Friends.JPG,JPG,2.8MB
Mouse tea party,Yes,Introduction to printmaking ,BFA show; Act of Creation - CSPS,Mice in a tea set,2024,Paper,"Print, intaglio",Ink,Unknown ,Mice; teapot; teacup; animals ,Community; tea,,Micetea,Nicolai McVey,Micetea.JPG,JPG,2.7MB
Celestial clown,Yes,Painting 1,BFA show; Act of Creation - CSPS,A clown in a celestial themed costume ,2025,Canvas,"Painting, oil",Oil paint,16x20,Clown,Self expression ,,Celestialclown,Nicolai McVey,Celestialclown.jpg,jpg,14.8MB
"Death, destroyer of worlds ",Yes,Painting 1,Act of Creation - CSPS,An oil painting of a sun creature destroying a city,2025,Canvas,"Painting, oil",Oil paint,12x9,Figure; city; sun,Social commentary ,Violence ,Destroyer,Nicolai McVey,Destroyer.JPG,JPG,2.3MB
Different paths ,Yes,Concepts in drawing ,Act of Creation - CSPS,An abstract painting created by rolling objects across the surface ,2024,Paper,"Painting, acrylic ",Acrylic paint,18x24,Abstract,Community ,,Paths,Nicolai McVey,Paths.JPG,JPG,3.7MB
Looking Out,Yes,Basic Drawing ,BFA show; Act of Creation - CSPS,A drawing of an elven character looking over a kingdom ,2023,Paper,"Drawing, traditional ",Ink; chalk pastel; colored pencils ,18x24,People; town; mountain; moon; night,Loneliness; longing,,Lookingout,Nicolai McVey,Lookingout.JPG,JPG,6.5MB
Lady of Flowers ,Yes,Advanced concepts in drawing ,,A digital drawing of someone wearing EGL fashion ,2025,Digital ,"Drawing, digital ",Digital ,6x8,People ,Fashion ,,Flowerlady,Nicolai McVey,Flowerlady.JPG,JPG,1.7MB
Scraps of self,Yes,Advanced concepts in drawing ,BFA show; Act of Creation - CSPS,A quilted tapestry featuring various drawings ,2024,Fabric ,"Drawing, traditional; fiber arts ","Chalk pastel; misc fabric; colored pencil, ink",18x24,Animals; buildings; objects ,Self expression ,,Scraps,Nicolai McVey,Scraps.JPG,JPG,3.8MB
Reading rainbow ,Yes,Printmaking and politics of protest ,Act of Creation - CSPS,A portrait of Levar Burton,2025,Paper,"Print, lino ",Ink,12x18,People; Butterflies; book; rainbow ,Reverence; joy,,Levar,Nicolai McVey,Levar.JPG,JPG,337KB
My Lace Is My Steel ,Yes,Printmaking and politics of protest,BFA show; Act of Creation - CSPS,A self portrait of myself wearing EGL fashion ,2025,Fabric ,"Print, Lino ",Ink,6x8,People ,Fashion; belonging ,,Lacesteel,Nicolai McVey,Lacesteel.JPG,JPG,1.6MB
Find Yourself ,Yes,Advanced concepts in drawing ,BFA show; Act of Creation - CSPS,A life sized portrait where the figure is filled with a maze connecting the heart and brain ,2025,Paper,"Drawing, traditional ",Graphite ,24x72,People ,Self actualization; self expression,,Maze,Nicolai McVey,Maze.JPG,JPG,2.1MB
The Future is Yours ,Yes,Pop Art,BFA show; Act of Creation - CSPS,A painting of two figures embracing with their heads obscured ,2025,Canvas,"Painting, acrylic; collage ","Acrylic paint, magazine clippings ",24x24,Figure,Community ,,Thefuture,Nicolai McVey,Thefuture.JPG,JPG,917KB
still life,Yes,Painting 1,,A still life of shapes ,2025,Canvas ,"Painting, oil",Oil paint,16x20,Abstract; still life,Study,,Shapes,Nicolai McVey,Shapes.JPG,JPG,3.5MB